S.N.,District,Total number of active male accounts,Total number of active female accounts,Total population,Percentage of active male accounts,Percentage of active female accounts,Female with Cooperative Access,Male with Cooperative access,FCHV Distict wise,Province,Province No.,Topography,Literacy_Rate_Female,Literacy_Rate_Male,Literacy_Rate_Total,Total Population,Total Male,Total Female,Sex Ratio
1,Bhojpur,"28,294","17,753","181,225",16,10,1602,4971,594,Province1,1,Hill,55,75,64,"182,459","86,053","96,406",89.3
2,Dhankuta,"36,974","26,748","161,398",23,17,5814,15880,315,Province1,1,Hill,55,75,64,"163,412","76,515","86,897",88.1
3,Ilam,"75,566","54,675","287,932",26,19,17327,51429,1074,Province1,1,Hill,55,75,64,"290,254","141,126","149,128",94.6
4,Jhapa,"287,079","209,144","807,934",36,26,227296,160576,660,Province1,1,Terai,55,75,64,"812,650","385,096","427,554",90.1
5,Khotang,"26,562","14,689","205,225",13,7,7086,7836,933,Province1,1,Hill,55,75,64,"206,312","97,092","109,220",88.9
6,Morang,"317,013","225,505","959,568",33,24,161541,129054,730,Province1,1,Terai,55,75,64,"965,370","466,712","498,658",93.6
7,Okhaldhunga,"32,888","19,987","131,628",25,15,5007,6991,713,Province1,1,Hill,55,75,64,"147,984","68,687","79,297",86.6
8,Panchthar,"33,609","23,190","194,584",17,12,17327,18036,394,Province1,1,Hill,55,75,64,"191,817","90,186","101,631",88.7
9,Sankhuwasabha,"27,321","13,433","158,222",17,8,1377,4448,324,Province1,1,Mountain,55,75,64,"158,742","75,225","83,517",90.1
10,Solukhumbu,"22,053","10,261","105,119",21,10,3321,2649,306,Province1,1,Mountain,55,75,64,"105,886","51,200","54,686",93.6
11,Sunsari,"258,899","188,047","753,244",34,25,83981,62106,1181,Province1,1,Terai,55,75,64,"763,487","371,229","392,258",94.6
12,Taplejung,"21,720","14,875","104,740",21,14,13175,15034,855,Province1,1,Mountain,55,75,64,"127,461","60,552","66,909",90.5
13,Terhathum,"19,492","14,888","100,833",19,15,6678,10274,411,Province1,1,Hill,55,75,64,"101,577","47,151","54,426",86.6
