District,Province,active accounts,percent active account,Gender,NewGender,Literacy Rate,Life expectancy(In Years),Per Capita Income(In USD),Province 1,Province 2,Province 4,Province 5,Province 6,Province 7
Achham,Sudurpaschim,"36,571",14,0,1,70.7,67.14,536,0,0,0,0,0,1
Arghakhanchi,Province5,"43,861",22,0,1,81.8,68.56,909,0,0,0,1,0,0
Baglung,Gandaki,"68,298",26,0,1,80.6,68.83,868,0,0,1,0,0,0
Baitadi,Sudurpaschim,"24,574",10,0,1,79,68.88,573,0,0,0,0,0,1
Bajhang,Sudurpaschim,"17,550",10,0,1,73,65.22,487,0,0,0,0,0,1
Bajura,Sudurpaschim,"14,910",14,0,1,68.8,63.92,523,0,0,0,0,0,1
Banke,Province5,"173,168",36,0,1,70,68.35,1133,0,0,0,1,0,0
Bara,Province2,"118,121",17,0,1,62.8,70.5,1480,0,1,0,0,0,0
Bardiya,Province5,"62,157",15,0,1,73.5,67.26,1086,0,0,0,1,0,0
Bhaktapur,Province3,"167,015",56,0,1,90.5,70.48,1379,0,0,0,0,0,0
Bhojpur,Province1,"28,294",16,0,1,78.4,68.33,999,1,0,0,0,0,0
Chitawan,Province3,"319,799",56,0,1,83.9,69.78,1537,0,0,0,0,0,0
Dadeldhura,Sudurpaschim,"39,061",28,0,1,79.7,67.9,764,0,0,0,0,0,1
Dailekh,Karnali,"28,900",13,0,1,72.8,68.03,684,0,0,0,0,1,0
Dang,Province5,"176,709",32,0,1,78.9,67.33,1127,0,0,0,1,0,0
Darchula,Sudurpaschim,"25,852",20,0,1,79.3,69.05,627,0,0,0,0,0,1
Dhading,Province3,"118,416",38,0,1,71.1,70.86,982,0,0,0,0,0,0
Dhankuta,Province1,"36,974",23,0,1,82.4,69.04,1257,1,0,0,0,0,0
Dhanusa,Province2,"159,852",21,0,1,60.6,69.53,938,0,1,0,0,0,0
Dolakha,Province3,"90,634",49,0,1,73.3,70.85,922,0,0,0,0,0,0
Dolpa,Karnali,"5,345",21,0,1,67.9,61.2,1040,0,0,0,0,1,0
Doti,Sudurpaschim,"26,576",14,0,1,73.4,66.74,774,0,0,0,0,0,1
Gorkha,Gandaki,"79,616",34,0,1,75.1,71.7,1039,0,0,1,0,0,0
Gulmi,Province5,"73,161",26,0,1,81.6,68.09,752,0,0,0,1,0,0
Humla,Karnali,"6,856",16,0,1,62.1,64.15,794,0,0,0,0,0,0
Ilam,Province1,"75,566",26,0,1,84.2,67.95,1260,1,0,0,0,0,0
Jajarkot,Karnali,"12,751",7,0,1,65.9,66.45,611,0,0,0,0,1,0
Jhapa,Province1,"287,079",36,0,1,82.3,67.29,1226,1,0,0,0,0,0
Jumla,Karnali,"23,493",22,0,1,68.2,63.14,1007,0,0,0,0,1,0
Kailali,Sudurpaschim,"237,161",31,0,1,76.2,66.46,942,0,0,0,0,0,1
Kalikot,Karnali,"12,660",9,0,1,67.9,63.64,578,0,0,0,0,1,0
Kanchanpur,Sudurpaschim,"148,126",33,0,1,81.3,67.08,938,0,0,0,0,0,1
Kapilbastu,Province5,"126,296",22,0,1,64.9,67.56,990,0,0,0,0,0,0
Kaski,Province5,"389,432",81,0,1,90.1,70.51,1561,0,0,0,1,0,0
Kathmandu,Province 3,"2,044,112",120,0,1,92.2,68.55,2764,0,0,0,0,0,0
Kavrepalanchok,Province3,"163,863",44,0,1,79.6,70.86,1399,0,0,0,0,0,0
Khotang,Province1,"26,562",13,0,1,77.7,70.24,1132,1,0,0,0,0,0
Lalitpur,Province3,"371,388",81,0,1,90.1,70.3,1894,0,0,0,0,0,0
Lamjung,Gandaki,"48,734",29,0,1,80.7,70.94,1186,0,0,1,0,0,0
Mahottari,Province2,"99,026",16,0,1,56.6,69.47,681,0,1,0,0,0,0
Makwanpur,Province3,"149,416",36,0,1,75.4,68.08,1410,0,0,0,0,0,0
Manang,Gandaki,"3,297",62,0,1,83,65.04,3166,0,0,1,0,0,0
Morang,Province1,"317,013",33,0,1,78.7,69.05,1251,1,0,0,0,0,0
Mugu,Karnali,"8,742",18,0,1,65.2,65.57,866,0,0,0,0,1,0
Mustang,Gandaki,"7,665",66,0,1,75.4,65.04,1922,0,0,1,0,0,0
Myagdi,Gandaki,"35,068",29,0,1,81.1,70.05,1028,0,0,1,0,0,0
Nawalparasi,Province5,198352,31,0,1,79.9,67.81,1157,0,0,0,1,0,0
Nuwakot,Province3,"116,324",42,0,1,68,70.81,1086,0,0,0,0,0,0
Okhaldhunga,Province1,"32,888",25,0,1,74.3,70.56,957,1,0,0,0,0,0
Palpa,Province5,"69,671",27,0,1,84.9,68.27,985,0,0,0,1,0,0
Panchthar,Province1,"33,609",17,0,1,80.3,68.12,1082,1,0,0,0,0,0
Parbat,Gandaki,"46,595",32,0,1,83.4,70.55,1013,0,0,1,0,0,0
Parsa,Province2,"195,156",34,0,1,66.9,70.25,1223,0,1,0,0,0,0
Pyuthan,Province5,"43,077",19,0,1,78.2,64.33,681,0,0,0,1,0,0
Ramechhap,Province3,"50,976",25,0,1,72.6,72.9,951,0,0,0,0,0,0
Rasuwa,Province3,"41,252",98,0,1,60.9,70.91,1520,0,0,0,0,0,0
Rautahat,Province2,"103,813",15,0,1,50.9,70.99,757,0,1,0,0,0,0
Rolpa,Province5,"17,872",8,0,1,71.5,66.28,643,0,0,0,1,0,0
Rukum,Karnali,25031,12,0,1,71.2,68.39,782,0,0,0,0,1,0
Rupandehi,Province5,"525,814",60,0,1,79.2,68.29,1123,0,0,0,1,0,0
Salyan,Karnali,"25,598",11,0,1,73.9,68.8,786,0,0,0,0,1,0
Sankhuwasabha,Province1,"27,321",17,0,1,77.5,68.42,1193,1,0,0,0,0,0
Saptari,Province2,"90,432",14,0,1,67,71.34,801,0,1,0,0,0,0
Sarlahi,Province2,"123,585",16,0,1,55.8,70.06,809,0,1,0,0,0,0
Sindhuli,Province3,"55,683",20,0,1,69.8,70.04,822,0,0,0,0,0,0
Sindhupalchok,Province3,"96,921",33,0,1,68,69.57,1110,0,0,0,0,0,0
Siraha,Province2,"135,780",21,0,1,61.9,71.29,689,0,1,0,0,0,0
Solukhumbu,Province1,"22,053",21,0,1,73.4,68.83,1841,1,0,0,0,0,0
Sunsari,Province1,"258,899",34,0,1,77,68.33,1104,1,0,0,0,0,0
Surkhet,Karnali,"85,371",25,0,1,82,67.28,911,0,0,0,0,1,0
Syangja,Gandaki,"98,745",34,0,1,86.1,69.68,1215,0,0,1,0,0,0
Tanahu,Gandaki,"124,419",39,0,1,83.7,70.14,1072,0,0,1,0,0,0
Taplejung,Province1,"21,720",21,0,1,79.3,65.83,1313,1,0,0,0,0,0
Terhathum,Province1,"19,492",19,0,1,83.5,68.05,1419,1,0,0,0,0,0
Udayapur,Province1,"52,172",17,0,1,77.2,69.29,920,1,0,0,0,0,0
Achham,Sudurpaschim,"32,586",13,1,0,42.9,67.14,536,0,0,0,0,0,1
Arghakhanchi,Province5,"41,223",21,1,0,65.8,68.56,909,0,0,0,1,0,0
Baglung,Gandaki,"65,160",24,1,0,65.3,68.83,868,0,0,1,0,0,0
Baitadi,Sudurpaschim,"14,878",6,1,0,49.2,68.88,573,0,0,0,0,0,1
Bajhang,Sudurpaschim,"7,843",4,1,0,40.1,65.22,487,0,0,0,0,0,1
Bajura,Sudurpaschim,"6,748",7,1,0,43.3,63.92,523,0,0,0,0,0,1
Banke,Province5,"121,284",25,1,0,54.9,68.35,1133,0,0,0,1,0,0
